iter	Passed	Remaining
445	1196	2003
446	1198	2000
447	1201	1998
448	1204	1995
449	1206	1992
450	1209	1989
451	1211	1986
452	1213	1982
453	1215	1979
454	1218	1975
455	1220	1972
456	1222	1969
457	1225	1966
458	1227	1963
459	1230	1960
460	1232	1956
461	1234	1953
462	1237	1951
463	1239	1947
464	1242	1944
465	1249	1949
466	1251	1945
467	1253	1942
468	1256	1939
469	1258	1936
470	1260	1932
471	1263	1929
472	1265	1926
473	1268	1923
474	1270	1920
475	1272	1916
476	1274	1913
477	1277	1910
478	1279	1906
479	1281	1903
480	1285	1902
481	1287	1899
482	1289	1896
483	1292	1892
484	1294	1890
485	1297	1887
486	1300	1884
487	1302	1882
488	1305	1879
489	1308	1876
490	1310	1873
491	1312	1870
492	1315	1867
493	1320	1868
494	1323	1865
495	1325	1862
496	1327	1859
497	1330	1857
498	1334	1855
499	1336	1852
500	1338	1849
501	1341	1846
502	1343	1842
503	1345	1839
504	1348	1836
505	1350	1833
506	1352	1830
507	1355	1827
508	1357	1824
509	1360	1821
510	1362	1818
511	1365	1815
512	1367	1812
513	1369	1808
514	1371	1805
515	1374	1802
516	1376	1799
517	1378	1796
518	1381	1793
519	1383	1790
520	1385	1786
521	1387	1783
522	1389	1780
523	1391	1776
524	1394	1774
525	1396	1771
526	1399	1768
527	1401	1765
528	1404	1762
529	1407	1760
530	1409	1757
531	1411	1754
532	1414	1751
533	1416	1747
534	1418	1744
535	1420	1741
536	1422	1738
537	1425	1734
538	1427	1731
539	1429	1728
540	1431	1725
541	1434	1722
542	1436	1719
543	1438	1716
544	1440	1713
545	1443	1710
546	1445	1707
547	1447	1703
548	1450	1701
549	1452	1698
550	1454	1695
551	1456	1691
552	1459	1688
553	1461	1685
554	1463	1682
555	1465	1679
556	1468	1676
557	1470	1673
558	1472	1669
559	1474	1667
560	1477	1664
561	1479	1661
562	1482	1658
563	1485	1656
564	1487	1652
565	1489	1649
566	1491	1646
567	1493	1643
568	1496	1640
569	1498	1637
570	1501	1635
571	1503	1632
572	1505	1629
573	1508	1626
574	1510	1623
575	1513	1620
576	1515	1618
577	1517	1614
578	1520	1611
579	1522	1609
580	1524	1606
581	1527	1603
582	1529	1600
583	1531	1597
584	1534	1594
585	1537	1592
586	1539	1589
587	1541	1586
588	1544	1583
589	1546	1580
590	1549	1578
591	1552	1576
592	1555	1573
593	1557	1570
594	1560	1568
595	1563	1566
596	1566	1563
597	1568	1560
598	1570	1557
599	1573	1554
600	1575	1552
601	1577	1549
602	1580	1546
603	1582	1543
604	1585	1540
605	1587	1538
606	1590	1535
607	1593	1532
608	1595	1530
609	1598	1527
610	1600	1524
611	1603	1522
612	1606	1519
613	1608	1516
614	1610	1513
615	1612	1510
616	1615	1507
617	1617	1504
618	1619	1501
619	1621	1498
620	1623	1495
621	1626	1493
622	1628	1490
623	1630	1487
624	1633	1484
625	1634	1480
626	1636	1477
627	1639	1474
628	1642	1472
629	1644	1469
630	1646	1466
631	1648	1463
632	1650	1460
633	1653	1457
634	1655	1454
635	1658	1452
636	1661	1450
637	1663	1447
638	1666	1444
639	1668	1441
640	1671	1439
641	1673	1436
642	1675	1433
643	1677	1430
644	1680	1427
645	1682	1424
646	1684	1421
647	1687	1419
648	1689	1416
649	1691	1413
650	1693	1410
651	1696	1407
652	1698	1404
653	1701	1402
654	1704	1400
655	1707	1397
656	1709	1395
657	1712	1392
658	1714	1389
659	1717	1386
660	1719	1384
661	1721	1381
662	1723	1378
663	1726	1375
664	1728	1372
665	1730	1369
666	1732	1366
667	1735	1363
668	1739	1362
669	1742	1360
670	1744	1357
671	1746	1354
672	1749	1351
673	1751	1348
674	1753	1345
675	1755	1342
676	1758	1340
677	1760	1337
678	1762	1334
679	1764	1331
680	1767	1328
681	1769	1326
682	1772	1323
683	1775	1321
684	1777	1318
685	1779	1315
686	1781	1312
687	1784	1309
688	1786	1306
689	1789	1304
690	1791	1301
691	1794	1298
692	1798	1297
693	1800	1294
694	1803	1292
695	1805	1289
696	1808	1286
697	1811	1284
698	1813	1281
699	1815	1278
700	1818	1276
701	1820	1273
702	1823	1270
703	1826	1268
704	1828	1266
705	1831	1263
706	1834	1260
707	1836	1257
708	1838	1254
709	1840	1252
710	1842	1249
711	1845	1246
712	1848	1244
713	1850	1241
714	1853	1239
715	1855	1236
716	1858	1233
717	1861	1231
718	1864	1228
719	1866	1226
720	1869	1223
721	1871	1220
722	1874	1218
723	1876	1215
724	1878	1212
725	1881	1210
726	1883	1207
727	1886	1204
728	1888	1201
729	1890	1199
730	1893	1196
731	1895	1194
732	1898	1191
733	1901	1189
734	1904	1186
735	1906	1183
736	1909	1181
737	1912	1178
738	1914	1175
739	1916	1173
740	1919	1170
741	1921	1168
742	1924	1165
743	1926	1162
744	1928	1159
745	1931	1157
746	1933	1154
747	1936	1151
748	1938	1149
749	1941	1146
750	1943	1143
751	1945	1140
752	1947	1138
753	1950	1135
754	1952	1132
755	1955	1130
756	1957	1127
757	1960	1124
758	1962	1122
759	1964	1119
760	1966	1116
761	1969	1113
762	1971	1111
763	1973	1108
764	1975	1105
765	1978	1103
766	1981	1100
767	1983	1097
768	1985	1094
769	1988	1092
770	1991	1089
771	1993	1087
772	1995	1084
773	1998	1081
774	2000	1078
775	2003	1076
776	2005	1073
777	2008	1071
778	2010	1068
779	2013	1065
780	2016	1063
781	2018	1060
782	2020	1058
783	2022	1055
784	2024	1052
785	2027	1049
786	2029	1047
787	2032	1044
788	2035	1042
789	2037	1039
790	2039	1036
791	2042	1034
792	2045	1031
793	2048	1029
794	2050	1026
795	2052	1023
796	2055	1021
797	2057	1018
798	2060	1016
799	2062	1013
800	2065	1010
801	2068	1008
802	2070	1005
803	2073	1003
804	2076	1000
805	2078	997
806	2081	995
807	2084	993
808	2086	990
809	2088	987
810	2091	985
811	2094	982
812	2096	980
813	2099	977
814	2102	975
815	2105	972
816	2108	970
817	2110	967
818	2113	964
819	2115	962
820	2118	959
821	2121	957
822	2123	954
823	2126	952
824	2129	949
825	2131	947
826	2135	945
827	2138	942
828	2140	939
829	2142	937
830	2146	935
831	2149	932
832	2151	930
833	2154	927
834	2156	924
835	2159	922
836	2163	920
837	2165	917
838	2168	914
839	2170	912
840	2174	910
841	2177	907
842	2180	905
843	2183	902
844	2185	900
845	2188	897
846	2191	895
847	2193	892
848	2195	889
849	2199	887
850	2202	885
851	2205	882
852	2207	879
853	2210	877
854	2212	874
855	2214	871
856	2217	869
857	2220	866
858	2222	864
859	2225	861
860	2227	858
861	2229	856
862	2233	854
863	2236	851
864	2238	848
865	2241	846
866	2244	843
867	2246	841
868	2249	838
869	2251	835
870	2253	833
871	2256	830
872	2258	827
873	2260	825
874	2263	822
875	2265	819
876	2268	817
877	2270	814
878	2273	811
879	2275	809
880	2278	806
881	2281	804
882	2283	801
883	2285	799
884	2288	796
885	2291	793
886	2293	791
887	2296	788
888	2299	786
889	2302	783
890	2305	781
891	2308	778
892	2310	776
893	2312	773
894	2315	770
895	2317	768
896	2320	765
897	2322	762
898	2324	760
899	2327	757
900	2329	754
901	2331	752
902	2334	749
903	2337	747
904	2339	744
905	2341	741
906	2344	739
907	2346	736
908	2348	733
909	2351	731
910	2354	728
911	2356	726
912	2359	723
913	2361	720
914	2363	718
915	2366	715
916	2368	712
917	2370	710
918	2372	707
919	2375	704
920	2377	702
921	2379	699
922	2381	696
923	2384	694
924	2387	691
925	2389	688
926	2392	686
927	2394	683
928	2396	681
929	2399	678
930	2401	675
931	2404	673
932	2406	670
933	2409	668
934	2411	665
935	2413	662
936	2416	660
937	2418	657
938	2421	654
939	2423	652
940	2425	649
941	2427	646
942	2430	644
943	2433	641
944	2435	639
945	2437	636
946	2439	633
947	2441	631
948	2444	628
949	2446	625
950	2448	623
951	2450	620
952	2453	617
953	2455	615
954	2458	612
955	2460	609
956	2462	607
957	2464	604
958	2466	601
959	2469	599
960	2471	596
961	2473	593
962	2476	591
963	2478	588
964	2480	586
965	2483	583
966	2485	580
967	2487	578
968	2490	575
969	2492	573
970	2495	570
971	2498	567
972	2500	565
973	2503	562
974	2505	560
975	2508	557
976	2510	555
977	2512	552
978	2515	549
979	2518	547
980	2521	544
981	2523	542
982	2526	539
983	2532	537
984	2535	535
985	2539	533
986	2562	534
987	2573	533
988	2577	531
989	2585	530
990	2589	527
991	2592	525
992	2594	522
993	2596	519
994	2599	517
995	2602	514
996	2605	512
997	2608	509
998	2610	506
999	2612	504
1000	2615	501
1001	2617	498
1002	2620	496
1003	2622	493
1004	2624	491
1005	2627	488
1006	2630	485
1007	2632	483
1008	2634	480
1009	2637	477
1010	2640	475
1011	2642	472
1012	2645	470
1013	2647	467
1014	2650	464
1015	2653	462
1016	2655	459
1017	2657	456
1018	2660	454
1019	2662	451
1020	2665	448
1021	2667	446
1022	2669	443
1023	2671	440
1024	2674	438
1025	2676	435
1026	2678	432
1027	2680	430
1028	2682	427
1029	2685	425
1030	2687	422
1031	2690	419
1032	2693	417
1033	2696	414
1034	2698	411
1035	2701	409
1036	2703	406
1037	2705	404
1038	2707	401
1039	2710	398
1040	2712	396
1041	2714	393
1042	2717	390
1043	2719	388
1044	2721	385
1045	2723	382
1046	2726	380
1047	2728	377
1048	2731	374
1049	2734	372
1050	2737	369
1051	2739	367
1052	2741	364
1053	2744	361
1054	2746	359
1055	2748	356
1056	2750	353
1057	2752	351
1058	2755	348
1059	2757	346
1060	2760	343
1061	2762	340
1062	2764	338
1063	2766	335
1064	2769	332
1065	2771	330
1066	2774	327
1067	2776	324
1068	2778	322
1069	2780	319
1070	2783	317
1071	2786	314
1072	2788	311
1073	2790	309
1074	2792	306
1075	2794	303
1076	2796	301
1077	2799	298
1078	2801	295
1079	2803	293
1080	2805	290
1081	2808	288
1082	2810	285
1083	2813	282
1084	2815	280
1085	2818	277
1086	2820	275
1087	2823	272
1088	2825	269
1089	2828	267
1090	2830	264
1091	2833	262
1092	2836	259
1093	2838	256
1094	2841	254
1095	2843	251
1096	2845	249
1097	2848	246
1098	2851	243
1099	2854	241
1100	2856	238
1101	2859	236
1102	2861	233
1103	2864	230
1104	2866	228
1105	2868	225
1106	2871	223
1107	2873	220
1108	2875	217
1109	2878	215
1110	2880	212
1111	2883	210
1112	2885	207
1113	2888	204
1114	2890	202
1115	2893	199
1116	2895	196
1117	2897	194
1118	2900	191
1119	2902	189
1120	2905	186
1121	2908	184
1122	2911	181
1123	2915	178
1124	2917	176
1125	2920	173
1126	2922	171
1127	2925	168
1128	2927	165
1129	2929	163
1130	2932	160
1131	2934	158
1132	2936	155
1133	2939	152
1134	2941	150
1135	2944	147
1136	2946	145
1137	2948	142
1138	2951	139
1139	2954	137
1140	2956	134
1141	2958	132
1142	2961	129
1143	2964	126
1144	2966	124
1145	2969	121
1146	2971	119
1147	2974	116
1148	2976	113
1149	2979	111
1150	2981	108
1151	2984	106
1152	2987	103
1153	2989	101
1154	2992	98
1155	2995	95
1156	2998	93
1157	3000	90
1158	3003	88
1159	3006	85
1160	3008	82
1161	3011	80
1162	3013	77
1163	3016	75
1164	3018	72
1165	3021	69
1166	3023	67
1167	3026	64
1168	3029	62
1169	3032	59
1170	3035	57
1171	3037	54
1172	3039	51
1173	3042	49
1174	3045	46
1175	3047	44
1176	3050	41
1177	3052	38
1178	3057	36
1179	3059	33
1180	3062	31
1181	3065	28
1182	3068	25
1183	3072	23
1184	3075	20
1185	3077	18
1186	3080	15
1187	3084	12
1188	3088	10
1189	3092	7
1190	3095	5
1191	3100	2
1192	3103	0
